NPI_1,ZIP1,Lat1,Long1,City1,State1,Influence score_1,NPI_2,ZIP2,Lat2,Long2,City2,State2,Influence score_2,PM_ID Score,Panel Score,Trial Score,Affiliation Score,Events Score,Overall Connection Strength,No. of Connections
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1730441544,6519,41.2964,-72.9295,New Haven,Connecticut,1.37,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1780811463,6510,41.31,-72.9225,New Haven,Connecticut,0.64,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1558546663,6611,41.2704,-73.2112,Trumbull,Connecticut,0.93,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1568782811,38104,35.133,-90.0032,Memphis,Tennessee,0.78,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1982040390,6473,41.3825,-72.8554,North Haven,Connecticut,0.81,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1912947342,6611,41.2704,-73.2112,Trumbull,Connecticut,0.79,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1902346224,6611,41.2704,-73.2112,Trumbull,Connecticut,0.72,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1427258078,6473,41.3825,-72.8554,North Haven,Connecticut,0.86,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1487652665,6611,41.2694,-73.2122,Trumbull,Connecticut,1.15,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1851461065,15213,40.447,-79.9523,Pittsburgh,Pennsylvania,0.89,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1992932453,2467,42.3167,-71.1605,Chestnut Hill,Massachusetts,3.12,0,0,0,1,0,1,82
1497285274,2142,42.3634,-71.0842,Cambridge,Massachusetts,0.99,1841354941,2142,42.3629,-71.0847,Cambridge,Massachusetts,1.14,0,0,0,1,0,1,1
1013935436,1803,42.502,-71.2027,Burlington,Massachusetts,1.67,1205524436,1803,42.5015,-71.2032,Burlington,Massachusetts,0.78,0,0,0,1,0,1,1
1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,1891766986,75390,32.8104,-96.8466,Dallas,Texas,3.06,0.8,0,0,0,0,0.8,38
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,1,0,0,1,0,2,24
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1891766986,75390,32.8104,-96.8466,Dallas,Texas,3.06,0.53,0,0,0,0,0.53,24
1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,1932160496,55407,44.9373,-93.2526,Minneapolis,Minnesota,1.38,0.2,0,0,0,0,0.2,38
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1720046659,45229,39.1523,-84.4873,Cincinnati,Ohio,2.2,0.2,0,0,0,0,0.2,24
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1710618657,14621,43.1863,-77.6018,Rochester,New York,1.18,0.2,0,0,0,0,0.2,24
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1669885372,85719,32.2463,-110.9485,Tucson,Arizona,1.08,0.2,0,0,0,0,0.2,24
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1750528345,20892,38.997,-77.1036,Bethesda,Maryland,2.22,0.32,0,0,0,0,0.32,24
1649550039,1805,42.4828,-71.2064,Burlington,Massachusetts,1.9,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0,0,0,1,0,1,4
1649550039,1805,42.4828,-71.2064,Burlington,Massachusetts,1.9,1659520393,1805,42.4838,-71.2054,Burlington,Massachusetts,1.66,0,0,0,1,0,1,4
1659520393,1805,42.4838,-71.2054,Burlington,Massachusetts,1.66,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0,0,0,1,0,1,4
1760448955,1805,42.4843,-71.2049,Burlington,Massachusetts,1.24,1760912695,1805,42.4863,-71.2029,Burlington,Massachusetts,1.05,0,0,0,1,0,1,2
1225146905,1805,42.4848,-71.2044,Burlington,Massachusetts,3.01,1649550039,1805,42.4828,-71.2064,Burlington,Massachusetts,1.9,0,0,0,1,0,1,4
1225146905,1805,42.4848,-71.2044,Burlington,Massachusetts,3.01,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0,0,0,1,0,1,4
1225146905,1805,42.4848,-71.2044,Burlington,Massachusetts,3.01,1659520393,1805,42.4838,-71.2054,Burlington,Massachusetts,1.66,0,0,0,1,0,1,4
1225146905,1805,42.4848,-71.2044,Burlington,Massachusetts,3.01,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0,0,0,1,0,1,4
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1649550039,1805,42.4828,-71.2064,Burlington,Massachusetts,1.9,0,0,0,1,0,1,24
1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,1659520393,1805,42.4838,-71.2054,Burlington,Massachusetts,1.66,0,0,0,1,0,1,24
1215519202,1805,42.4858,-71.2034,Burlington,Massachusetts,0.69,1760448955,1805,42.4843,-71.2049,Burlington,Massachusetts,1.24,0,0,0,1,0,1,2
1215519202,1805,42.4858,-71.2034,Burlington,Massachusetts,0.69,1760912695,1805,42.4863,-71.2029,Burlington,Massachusetts,1.05,0,0,0,1,0,1,2
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0.82,0,0,0,0,0.82,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1407834344,55905,44.024,-92.4641,Rochester,Minnesota,4.09,0.53,0,0,0,0,0.53,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1891766986,75390,32.8104,-96.8466,Dallas,Texas,3.06,0.65,0,0,0,0,0.65,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0.53,0,0,0,0,0.53,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1346349669,2467,42.3172,-71.16,Chestnut Hill,Massachusetts,2.02,0.47,0,0,0,0,0.47,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1265492862,55008,45.5727,-93.2684,Cambridge,Minnesota,2.45,0.53,0,0,0,0,0.53,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1366569972,55407,44.9378,-93.2521,Minneapolis,Minnesota,1.72,0.47,0,0,0,0,0.47,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1396733481,2215,42.3478,-71.1077,Boston,Massachusetts,2.51,0.47,0,0,0,0,0.47,28
1255345559,2111,42.3502,-71.0597,Boston,Massachusetts,2.23,1700088986,22903,38.0088,-78.5967,Charlottesville,Virginia,1.37,0.2,0,0,0,0,0.2,23
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1932128733,60612,41.8762,-87.6913,Chicago,Illinois,1.38,0.2,0,0,0,0,0.2,27
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1801872056,32224,30.2732,-81.465,Jacksonville,Florida,3.94,0.32,0,0,0,0,0.32,28
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1588929954,10025,40.7978,-73.9693,New York,New York,3.46,0.2,0,0,0,0,0.2,28
1558308874,2111,42.3527,-71.0572,Boston,Massachusetts,2.53,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0.2,0,0,0,0,0.2,21
1558308874,2111,42.3527,-71.0572,Boston,Massachusetts,2.53,1720046659,45229,39.1523,-84.4873,Cincinnati,Ohio,2.2,0.2,0,0,0,0,0.2,21
1558308874,2111,42.3527,-71.0572,Boston,Massachusetts,2.53,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0.2,0,0,0,0,0.2,21
1255669503,2111,42.3472,-71.0627,Boston,Massachusetts,1.58,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0.32,0,0,0,0,0.32,20
1255669503,2111,42.3472,-71.0627,Boston,Massachusetts,1.58,1871040253,1805,42.4833,-71.2059,Burlington,Massachusetts,5.01,0.32,0,0,0,0,0.32,20
1164469813,2111,42.3492,-71.0607,Boston,Massachusetts,5.37,1255669503,2111,42.3472,-71.0627,Boston,Massachusetts,1.58,0.2,0,0,1,0,1.2,28
1174647036,2111,42.3532,-71.0567,Boston,Massachusetts,2.29,1720063001,10029,40.7886,-73.947,New York,New York,2.81,0.2,0,0,0,0,0.2,27
1457514440,2111,42.3477,-71.0622,Boston,Massachusetts,2.16,1578790283,1805,42.4853,-71.2039,Burlington,Massachusetts,4.24,0.32,0,0,0,0,0.32,21
1457514440,2111,42.3477,-71.0622,Boston,Massachusetts,2.16,1891766986,75390,32.8104,-96.8466,Dallas,Texas,3.06,0.2,0,0,0,0,0.2,21
